algorithm,average_latency_ms,average_cost,average_energy,deadline_miss_rate_percent
Local Only,3060.0,0.0,3.06,86.66666666666667
Edge Only,1037.8,0.022013333333333333,1.224,20.0
Cloud Only,1301.2666666666667,0.06604,0.612,33.33333333333333
Latency Greedy,790.6444444444444,0.014626666666666668,1.0186666666666668,6.666666666666667
Deadline Cost Minimization,835.5777777777778,0.01412,1.1026666666666667,6.666666666666667
